onboarding_task_id,employee_id,task_name,task_category,current_stage,task_status,due_date,completed_date,completion_percentage
ONB00001,10026,Complete HR Documentation,HR,Preboarding,Complete,2011-07-08,2011-07-08,100.0
ONB00002,10026,Submit Required Identification,HR,Preboarding,Complete,2011-07-07,2011-07-10,100.0
ONB00003,10026,Complete New Hire Orientation,HR,Orientation,Complete,2011-07-12,2011-07-11,100.0
ONB00004,10026,Manager Introduction,Manager,Orientation,In Progress,2011-07-10,,94.0
ONB00005,10026,Laptop Provisioning,IT,Setup,In Progress,2011-07-12,,56.0
ONB00006,10026,Network Account Setup,IT,Setup,Complete,2011-07-10,2011-07-07,100.0
ONB00007,10026,Email and Collaboration Access,IT,Setup,Complete,2011-07-10,2011-07-07,100.0
ONB00008,10026,Security Awareness Training,Compliance,Enablement,Complete,2011-07-17,2011-07-20,100.0
ONB00009,10026,Company Policy Training,Compliance,Enablement,In Progress,2011-07-15,,59.0
ONB00010,10026,Role-Specific Training,Role-specific,Enablement,Complete,2011-07-25,2011-07-18,100.0
ONB00011,10026,Department Process Training,Role-specific,Enablement,Complete,2011-07-20,2011-07-22,100.0
ONB00012,10026,Tool Access Verification,IT,Enablement,In Progress,2011-07-15,,20.0
ONB00013,10026,First Week Check-in,Manager,Enablement,Complete,2011-07-15,2011-07-11,100.0
ONB00014,10026,30-Day Onboarding Review,Manager,Productive,Complete,2011-08-04,2011-08-04,100.0
ONB00015,10084,Complete HR Documentation,HR,Preboarding,Blocked,2015-04-02,,51.0
ONB00016,10084,Submit Required Identification,HR,Preboarding,Complete,2015-04-01,2015-04-03,100.0
ONB00017,10084,Complete New Hire Orientation,HR,Orientation,Complete,2015-04-06,2015-04-04,100.0
ONB00018,10084,Manager Introduction,Manager,Orientation,Complete,2015-04-04,2015-03-31,100.0
ONB00019,10084,Laptop Provisioning,IT,Setup,Complete,2015-04-06,2015-04-09,100.0
ONB00020,10084,Network Account Setup,IT,Setup,Not Started,2015-04-04,,0.0
ONB00021,10084,Email and Collaboration Access,IT,Setup,Complete,2015-04-04,2015-04-05,100.0
ONB00022,10084,Security Awareness Training,Compliance,Enablement,Complete,2015-04-11,2015-04-02,100.0
ONB00023,10084,Company Policy Training,Compliance,Enablement,Complete,2015-04-09,2015-04-06,100.0
ONB00024,10084,Role-Specific Training,Role-specific,Enablement,Complete,2015-04-19,2015-04-17,100.0
ONB00025,10084,Department Process Training,Role-specific,Enablement,Complete,2015-04-14,2015-04-10,100.0
ONB00026,10084,Tool Access Verification,IT,Enablement,Complete,2015-04-09,2015-04-12,100.0
ONB00027,10084,First Week Check-in,Manager,Enablement,In Progress,2015-04-09,,50.0
ONB00028,10084,30-Day Onboarding Review,Manager,Productive,Complete,2015-04-29,2015-04-20,100.0
ONB00029,10196,Complete HR Documentation,HR,Preboarding,In Progress,2011-07-08,,40.0
ONB00030,10196,Submit Required Identification,HR,Preboarding,Complete,2011-07-07,2011-07-10,100.0
ONB00031,10196,Complete New Hire Orientation,HR,Orientation,Complete,2011-07-12,2011-07-08,100.0
ONB00032,10196,Manager Introduction,Manager,Orientation,Complete,2011-07-10,2011-07-12,100.0
ONB00033,10196,Laptop Provisioning,IT,Setup,Complete,2011-07-12,2011-07-07,100.0
ONB00034,10196,Network Account Setup,IT,Setup,In Progress,2011-07-10,,78.0
ONB00035,10196,Email and Collaboration Access,IT,Setup,Complete,2011-07-10,2011-07-11,100.0
ONB00036,10196,Security Awareness Training,Compliance,Enablement,In Progress,2011-07-17,,60.0
ONB00037,10196,Company Policy Training,Compliance,Enablement,Complete,2011-07-15,2011-07-12,100.0
ONB00038,10196,Role-Specific Training,Role-specific,Enablement,Complete,2011-07-25,2011-07-14,100.0
ONB00039,10196,Department Process Training,Role-specific,Enablement,Complete,2011-07-20,2011-07-11,100.0
ONB00040,10196,Tool Access Verification,IT,Enablement,Complete,2011-07-15,2011-07-17,100.0
ONB00041,10196,First Week Check-in,Manager,Enablement,In Progress,2011-07-15,,60.0
ONB00042,10196,30-Day Onboarding Review,Manager,Productive,Complete,2011-08-04,2011-08-01,100.0
ONB00043,10088,Complete HR Documentation,HR,Preboarding,Complete,2008-01-10,2008-01-10,100.0
ONB00044,10088,Submit Required Identification,HR,Preboarding,Complete,2008-01-09,2008-01-09,100.0
ONB00045,10088,Complete New Hire Orientation,HR,Orientation,Complete,2008-01-14,2008-01-12,100.0
ONB00046,10088,Manager Introduction,Manager,Orientation,Complete,2008-01-12,2008-01-15,100.0
ONB00047,10088,Laptop Provisioning,IT,Setup,Complete,2008-01-14,2008-01-16,100.0
ONB00048,10088,Network Account Setup,IT,Setup,Complete,2008-01-12,2008-01-14,100.0
ONB00049,10088,Email and Collaboration Access,IT,Setup,Complete,2008-01-12,2008-01-10,100.0
ONB00050,10088,Security Awareness Training,Compliance,Enablement,Complete,2008-01-19,2008-01-11,100.0
ONB00051,10088,Company Policy Training,Compliance,Enablement,In Progress,2008-01-17,,60.0
ONB00052,10088,Role-Specific Training,Role-specific,Enablement,Complete,2008-01-27,2008-01-19,100.0
ONB00053,10088,Department Process Training,Role-specific,Enablement,In Progress,2008-01-22,,47.0
ONB00054,10088,Tool Access Verification,IT,Enablement,Complete,2008-01-17,2008-01-13,100.0
ONB00055,10088,First Week Check-in,Manager,Enablement,Complete,2008-01-17,2008-01-12,100.0
ONB00056,10088,30-Day Onboarding Review,Manager,Productive,In Progress,2008-02-06,,71.0
ONB00057,10069,Complete HR Documentation,HR,Preboarding,Complete,2011-07-14,2011-07-17,100.0
ONB00058,10069,Submit Required Identification,HR,Preboarding,Complete,2011-07-13,2011-07-15,100.0
ONB00059,10069,Complete New Hire Orientation,HR,Orientation,Complete,2011-07-18,2011-07-15,100.0
ONB00060,10069,Manager Introduction,Manager,Orientation,Complete,2011-07-16,2011-07-15,100.0
ONB00061,10069,Laptop Provisioning,IT,Setup,In Progress,2011-07-18,,84.0
ONB00062,10069,Email and Collaboration Access,IT,Setup,Complete,2011-07-16,2011-07-17,100.0
ONB00063,10069,Security Awareness Training,Compliance,Enablement,Complete,2011-07-23,2011-07-19,100.0
ONB00064,10069,Company Policy Training,Compliance,Enablement,Complete,2011-07-21,2011-07-14,100.0
ONB00065,10069,Role-Specific Training,Role-specific,Enablement,Complete,2011-07-31,2011-07-28,100.0
ONB00066,10069,Department Process Training,Role-specific,Enablement,Complete,2011-07-26,2011-07-27,100.0
ONB00067,10069,Tool Access Verification,IT,Enablement,Complete,2011-07-21,2011-07-14,100.0
ONB00068,10069,First Week Check-in,Manager,Enablement,Complete,2011-07-21,2011-07-21,100.0
ONB00069,10002,Complete HR Documentation,HR,Preboarding,In Progress,2012-01-12,,16.0
ONB00070,10002,Submit Required Identification,HR,Preboarding,Blocked,2012-01-11,,41.0
ONB00071,10002,Complete New Hire Orientation,HR,Orientation,Complete,2012-01-16,2012-01-11,100.0
ONB00072,10002,Manager Introduction,Manager,Orientation,Complete,2012-01-14,2012-01-15,100.0
ONB00073,10002,Network Account Setup,IT,Setup,Complete,2012-01-14,2012-01-15,100.0
ONB00074,10002,Security Awareness Training,Compliance,Enablement,Complete,2012-01-21,2012-01-21,100.0
ONB00075,10002,Company Policy Training,Compliance,Enablement,In Progress,2012-01-19,,73.0
ONB00076,10002,Role-Specific Training,Role-specific,Enablement,Complete,2012-01-29,2012-01-25,100.0
ONB00077,10002,Department Process Training,Role-specific,Enablement,Complete,2012-01-24,2012-01-26,100.0
ONB00078,10002,Tool Access Verification,IT,Enablement,Complete,2012-01-19,2012-01-13,100.0
ONB00079,10002,First Week Check-in,Manager,Enablement,Complete,2012-01-19,2012-01-18,100.0
ONB00080,10002,30-Day Onboarding Review,Manager,Productive,In Progress,2012-02-08,,52.0
ONB00081,10194,Complete HR Documentation,HR,Preboarding,Overdue,2014-11-13,,73.0
ONB00082,10194,Submit Required Identification,HR,Preboarding,Complete,2014-11-12,2014-11-13,100.0
ONB00083,10194,Complete New Hire Orientation,HR,Orientation,Complete,2014-11-17,2014-11-16,100.0
ONB00084,10194,Manager Introduction,Manager,Orientation,Overdue,2014-11-15,,16.0
ONB00085,10194,Laptop Provisioning,IT,Setup,Complete,2014-11-17,2014-11-12,100.0
ONB00086,10194,Network Account Setup,IT,Setup,Complete,2014-11-15,2014-11-18,100.0
ONB00087,10194,Email and Collaboration Access,IT,Setup,Blocked,2014-11-15,,75.0
ONB00088,10194,Security Awareness Training,Compliance,Enablement,In Progress,2014-11-22,,83.0
ONB00089,10194,Company Policy Training,Compliance,Enablement,Blocked,2014-11-20,,67.0
ONB00090,10194,Role-Specific Training,Role-specific,Enablement,Complete,2014-11-30,2014-11-23,100.0
ONB00091,10194,Department Process Training,Role-specific,Enablement,In Progress,2014-11-25,,40.0
ONB00092,10194,Tool Access Verification,IT,Enablement,Complete,2014-11-20,2014-11-17,100.0
ONB00093,10194,First Week Check-in,Manager,Enablement,Complete,2014-11-20,2014-11-18,100.0
ONB00094,10194,30-Day Onboarding Review,Manager,Productive,In Progress,2014-12-10,,45.0
ONB00095,10062,Complete HR Documentation,HR,Preboarding,Complete,2013-10-03,2013-10-01,100.0
ONB00096,10062,Submit Required Identification,HR,Preboarding,Complete,2013-10-02,2013-09-30,100.0
ONB00097,10062,Complete New Hire Orientation,HR,Orientation,Complete,2013-10-07,2013-10-09,100.0
ONB00098,10062,Manager Introduction,Manager,Orientation,Complete,2013-10-05,2013-10-03,100.0
ONB00099,10062,Laptop Provisioning,IT,Setup,Blocked,2013-10-07,,45.0
ONB00100,10062,Network Account Setup,IT,Setup,Complete,2013-10-05,2013-10-03,100.0
ONB00101,10062,Email and Collaboration Access,IT,Setup,In Progress,2013-10-05,,40.0
ONB00102,10062,Security Awareness Training,Compliance,Enablement,Not Started,2013-10-12,,0.0
ONB00103,10062,Company Policy Training,Compliance,Enablement,Complete,2013-10-10,2013-10-07,100.0
ONB00104,10062,Role-Specific Training,Role-specific,Enablement,Complete,2013-10-20,2013-10-07,100.0
ONB00105,10062,Department Process Training,Role-specific,Enablement,Complete,2013-10-15,2013-10-08,100.0
ONB00106,10062,Tool Access Verification,IT,Enablement,Complete,2013-10-10,2013-10-04,100.0
ONB00107,10062,First Week Check-in,Manager,Enablement,Complete,2013-10-10,2013-10-07,100.0
ONB00108,10062,30-Day Onboarding Review,Manager,Productive,Complete,2013-10-30,2013-10-27,100.0
ONB00109,10114,Complete HR Documentation,HR,Preboarding,Complete,2009-07-09,2009-07-12,100.0
ONB00110,10114,Submit Required Identification,HR,Preboarding,Complete,2009-07-08,2009-07-10,100.0
ONB00111,10114,Complete New Hire Orientation,HR,Orientation,In Progress,2009-07-13,,81.0
ONB00112,10114,Manager Introduction,Manager,Orientation,Complete,2009-07-11,2009-07-08,100.0
ONB00113,10114,Laptop Provisioning,IT,Setup,Overdue,2009-07-13,,7.0
ONB00114,10114,Network Account Setup,IT,Setup,Complete,2009-07-11,2009-07-10,100.0
ONB00115,10114,Email and Collaboration Access,IT,Setup,Complete,2009-07-11,2009-07-11,100.0
ONB00116,10114,Security Awareness Training,Compliance,Enablement,Overdue,2009-07-18,,60.0
ONB00117,10114,Company Policy Training,Compliance,Enablement,Complete,2009-07-16,2009-07-19,100.0
ONB00118,10114,Role-Specific Training,Role-specific,Enablement,Complete,2009-07-26,2009-07-28,100.0
ONB00119,10114,Department Process Training,Role-specific,Enablement,Complete,2009-07-21,2009-07-13,100.0
ONB00120,10114,Tool Access Verification,IT,Enablement,Complete,2009-07-16,2009-07-15,100.0
ONB00121,10114,First Week Check-in,Manager,Enablement,Complete,2009-07-16,2009-07-17,100.0
