metric_1,metric_2,correlation,relationship
onboarding_completion_rate,total_usage_records,,undefined
onboarding_completion_rate,average_daily_active_usage,-0.03251385984342625,weak_or_none
onboarding_completion_rate,total_slack_activity,-0.019518479318542847,weak_or_none
onboarding_completion_rate,total_jira_usage,0.011274075309556805,weak_or_none
onboarding_completion_rate,total_github_activity,0.0036312785658886237,weak_or_none
onboarding_completion_rate,total_teams_activity,0.031816608030987466,weak_or_none
onboarding_completion_rate,total_workspace_activity,0.03654820856164406,weak_or_none
onboarding_completion_rate,total_support_tickets,-0.002175768655826033,weak_or_none
onboarding_completion_rate,average_resolution_time_hours,-0.04738012769418796,weak_or_none
onboarding_completion_rate,open_support_tickets,-0.04990665903583674,weak_or_none
onboarding_completion_rate,total_learning_records,0.013038709188079546,weak_or_none
onboarding_completion_rate,completed_courses,0.013726110590435709,weak_or_none
onboarding_completion_rate,average_assessment_score,0.019662212131071968,weak_or_none
onboarding_completion_rate,learning_completion_rate,0.01816987834854304,weak_or_none
onboarding_completion_rate,Absences,-0.02552906152293361,weak_or_none
onboarding_completion_rate,DaysLateLast30,-0.03939914696075885,weak_or_none
total_usage_records,average_daily_active_usage,,undefined
total_usage_records,total_slack_activity,,undefined
total_usage_records,total_jira_usage,,undefined
total_usage_records,total_github_activity,,undefined
total_usage_records,total_teams_activity,,undefined
total_usage_records,total_workspace_activity,,undefined
total_usage_records,total_support_tickets,,undefined
total_usage_records,average_resolution_time_hours,,undefined
total_usage_records,open_support_tickets,,undefined
total_usage_records,total_learning_records,,undefined
total_usage_records,completed_courses,,undefined
total_usage_records,average_assessment_score,,undefined
total_usage_records,learning_completion_rate,,undefined
total_usage_records,Absences,,undefined
total_usage_records,DaysLateLast30,,undefined
average_daily_active_usage,total_slack_activity,0.3513590904438071,moderate_positive
average_daily_active_usage,total_jira_usage,0.6076784555088192,moderate_positive
average_daily_active_usage,total_github_activity,0.6753869242054407,moderate_positive
average_daily_active_usage,total_teams_activity,-0.41302074663017535,moderate_negative
