metric,min,q25,median,q75,max,iqr,range,std
Salary,45046.0,55501.5,62810.0,72036.0,250000.0,16534.5,204954.0,25156.636929646644
Absences,1.0,5.0,10.0,15.0,20.0,10.0,19.0,5.852595862702569
DaysLateLast30,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.294519416885229
SpecialProjectsCount,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.3494212278342412
total_onboarding_tasks,10.0,14.0,14.0,14.0,14.0,0.0,4.0,0.9604674206953598
completed_onboarding_tasks,4.0,9.0,10.0,11.0,14.0,2.0,10.0,1.8795213094457088
late_onboarding_tasks,0.0,2.0,3.0,4.0,9.0,2.0,9.0,1.5373374013712848
onboarding_completion_rate,33.33333333333333,64.28571428571429,71.42857142857143,83.33333333333334,100.0,19.04761904761905,66.66666666666667,12.284707348224874
total_usage_records,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0
total_slack_activity,64.0,95.0,108.0,120.0,157.0,25.0,93.0,18.93178842052441
total_github_activity,0.0,69.0,80.0,88.0,121.0,19.0,121.0,31.872013528231008
total_teams_activity,3.0,20.0,29.0,40.5,101.0,20.5,98.0,19.356180830277577
total_workspace_activity,31.0,86.5,100.0,116.0,174.0,29.5,143.0,23.23714483121041
total_support_tickets,1.0,2.0,3.0,5.0,10.0,3.0,9.0,1.80977654239481
average_resolution_time_hours,3.0,14.309999999999999,18.67333333333333,23.264000000000003,53.66,8.954000000000004,50.66,8.958722131225386
open_support_tickets,0.0,1.0,3.0,4.0,9.0,3.0,9.0,1.6837336690739162
total_learning_records,7.0,10.0,10.0,11.0,11.0,1.0,4.0,0.668120670049918
average_assessment_score,69.69,82.69136363636363,84.97200000000001,87.57,92.85666666666668,4.87863636363636,23.166666666666686,3.476032960806408
average_completion_time_hours,1.73,2.7447857142857144,2.966666666666667,3.1968750000000004,5.35,0.45208928571428597,3.6199999999999997,0.4306933326068198
learning_completion_rate,14.285714285714285,60.0,70.0,80.0,100.0,20.0,85.71428571428572,14.740288952170951
